0	0	the light was too dim so I began reading	the light was too dim so I stopped reading
2	0	I rolled in mud to get clean.	I took a shower to get clean.
3	1	I did a battery testing in my garage	I did a body testing in my garage
4	0	I ride a leopard to work every day	I drive a car to work every day
5	1	We use a clock to know the time	We use book to know the time
6	0	The sun goes around the earth	The earth goes around the sun
7	0	He went to the dentist because he was sick	He went to the doctor because he was sick
8	1	He is moving so he puts his stuff in the box	He is moving so he takes things out of the box
9	1	The chicken laid an egg	The chicken laid a dog
10	1	It's only a party in honor of my birthday	It's only a race in honor of my birthday
11	1	He wore a suit to church.	He wore a lawn mower to church
12	0	The eagle flies deep in the ocean	The eagle flew high in the sky
13	0	Dolphins breathe cheese.	Dolphins breathe air.
14	0	During the race, Mr. Taylor chats with the driver using a loudspeaker.	During the race, Mr. Taylor talks to the driver using a headset.
15	0	people wear sunglasses on rainy days	People use umbrellas on rainy days
16	1	The price of gold keeps rising, it's time to sell off	The temperature of gold keeps rising, it's time to sell off
17	0	Your plant should listen to your parents	You should listen to your parents
18	1	If you want to go to a restaurant then you should wear shoes.	If you want to go to a restaurant then you should wear earrings.
20	1	Buttered noodles is a popular dish	Fried underwear is a popular dish
21	1	Not everyone who's from Canada skis.	Not everyone who's from Canada breathes.
22	1	Having been staring at the display for a whole day, my eyes feel sick	Having been staring at the display for a whole day, my legs feel sick
25	1	He ate a taco.	He ate a desk.
26	0	There are many clouds in the sea.	There are many clouds in the sky.
27	1	wolves are ferocious naturally	wolves are docile naturally
28	0	He puts his clothes into the barn.	He puts his horse into the barn.
29	1	Running is good exercise	Sleeping is good exercise
30	1	He put the staples into the stapler	He put the staples into the lighter
31	1	She placed the blanket over her child	She placed the blanket over the state.
32	0	They recalled the good days in the future together	They recalled the good old days together
33	0	If you want to stay home you should get tickets	If you want to go to a performance then you should get tickets
34	0	A dog is an adult cat	Kittens are baby cats
35	1	he was waiting to see a doctor	he ordered a doctor
36	1	The moon will wax or wane	The moon is always round.
37	0	He put a horse in the fridge.	He put an apple in the fridge.
38	1	It's fun to carve pumkins with your kids at Halloween	It's fun to carve pumkins with your kids at Christmas
39	0	We talked after drinking some biscuits	We talked after drinking some tea
40	0	People can take the subway in the air.	People can take subway underground.
41	1	This device is designed for the conversion of waste into usable products	This device is designed for the conversion of usable products into waste
42	1	The man put the chicken in the oven.	The man put the car in the oven.
43	0	People use pans for writing.	People use pens for writing.
45	0	He was arrested by the police because he listen to music	He was arrested by the police because he sells drug
46	1	Tomorrow the sun will be shining on his skin.	Tomorrow the sun will cool his skin.
47	0	He likes jogging at sea.	He likes jogging in the playground.
48	0	12345 are the first letters of a standard English keyboard	QWERTY are the first 6 letters of a standard English keyboard
51	0	The mama cat was so proud of her puppies.	The mama cat was so proud of her kittens.
52	1	He ate a sandwich for lunch.	He ate a rock for lunch.
53	1	People feed the baby milk powder.	People feed the baby chilies.
54	1	My son was crying so I hugged him.	My son was crying so I slapped him.
55	0	He ironed his food to warm it up.	He microwaved his food to warm it up.
56	1	smoking causes cancer	cancer causes smoking
57	1	The airplane flies very fast.	The train flies very fast.
58	1	There are many fish in the lake.	There are many Sparrows in the lake.
59	0	She opened her Christmas pillow.	She opened her Christmas presents.
61	0	Carrots are a great source of weaponry	Carrots are a great source of fiber
62	1	He put his feet on the table and his mother criticized him	He put his feet on the table and his mother praised him
63	0	We can listen to music with mouse.	We can listen to music with earphones.
64	0	Usually people sleep in kitchen	Usually people sleep in bedroom
65	0	He flew out different things in his notebook.	He wrote down some items in his notebook.
66	0	a dirty dish is for washing and throwing away to clear the house	a dirty dish is for washing and putting away to eat off later
67	0	my elephant is driving a car	my sister is driving a car
68	1	She roasted a chicken for dinner.	She roasted a dinosaur for dinner.
69	0	English characters have partial radicals	Chinese characters have partial radicals
70	1	Evolution is a change in the gene pool of a population over time	Evolution is a stable in the gene pool of a population over time
72	1	Hospitals are safe	Hospitals are dangerous
73	0	People go to the park to buy vegetables.	People go to the vegetable market to buy vegetables.
74	1	The apple fell from the tree.	The apple floated from the tree.
75	0	All Koreans like pickles.	Koreans like pickles.
76	0	After I washed my hands I wet my dry hands with a clean towel.	After I washed my hands I dried my wet hands with a clean towel.
77	0	the monkey teach math	my brother see monkey
78	1	You should put your dirty clothes in the washing machine.	You should put your dirty clothes in the fireplace.
79	0	he was late for work and his boss got happy	he was late for work and his boss got angry
